window,parent,child,parent weight,child weight
365d,4178818,4162282,0.102209095144535,0.0272591518396761
365d,4178818,4181062,0.102209095144535,0.0224420259460992
365d,4178818,4176946,0.102209095144535,0.0126161118090499
365d,4178818,4190185,0.102209095144535,0.0121548811392208
365d,4178818,4159963,0.102209095144535,0.0120222644216186
365d,4178818,432661,0.102209095144535,0.0113637254602349
365d,4178818,4183452,0.102209095144535,0.00856928974707563
365d,4178818,444207,0.102209095144535,0.00580967471461388
365d,4178818,4319605,0.102209095144535,0.00496467639697663
365d,4178818,4181188,0.102209095144535,0.00274851855057592
365d,4178818,378425,0.102209095144535,0.00140728246811406
365d,4178818,4265426,0.102209095144535,0.00139048532941979
365d,4178818,4029816,0.102209095144535,0.000595339386329488
365d,4178818,4190307,0.102209095144535,0.000414727712257846
365d,4178818,619430,0.102209095144535,0.000169039938291201
365d,4178818,79072,0.102209095144535,0.000138190599399162
365d,4178818,4049810,0.102209095144535,8.57219575707701e-05
365d,4178818,133444,0.102209095144535,6.66806129878559e-05
365d,4178818,439025,0.102209095144535,4.37152026768824e-05
365d,4170962,4329041,0.100725455575014,0.0757824333765572
365d,4170962,4154801,0.100725455575014,0.0263753721649707
365d,4117930,43531057,0.256013984641545,0.0775853744179461
365d,4117930,4116811,0.256013984641545,0.0519405331607099
365d,4117930,4206591,0.256013984641545,0.0244298048409505
365d,4117930,40486678,0.256013984641545,0.000739488292052307
365d,4117930,43021801,0.256013984641545,0.000685790099881309
365d,4093991,141960,0.172487040647787,0.096062191217601
365d,4093991,40481517,0.172487040647787,0.0197788501861487
365d,4093991,4071689,0.172487040647787,0.0164887169115484
365d,4093991,442983,0.172487040647787,0.00634643613380682
365d,4093991,4080857,0.172487040647787,0.00580092178826168
365d,4093991,4094284,0.172487040647787,0.00566026433670091
365d,4093991,4184117,0.172487040647787,0.00525316947656786
365d,4093991,4081176,0.172487040647787,0.00449796172719058
365d,4093991,4095203,0.172487040647787,0.00406419053143097
365d,4093991,75635,0.172487040647787,0.0031806242288891
365d,4093991,4092885,0.172487040647787,0.00245128431779128
365d,4093991,4090894,0.172487040647787,0.000586121934118044
365d,4093991,4096860,0.172487040647787,0.000574935629179518
365d,4093991,4021773,0.172487040647787,0.000519396181327252
365d,4093991,4154799,0.172487040647787,0.000395724141147678
365d,4093991,4086828,0.172487040647787,0.000392961124066459
365d,4093991,4091375,0.172487040647787,0.000105910300649938
365d,4093991,4256625,0.172487040647787,4.33709852935139e-05
365d,4093991,4081148,0.172487040647787,1.64608448102311e-05
365d,4093991,4090887,0.172487040647787,1.04490785668852e-05
365d,4093991,4089404,0.172487040647787,3.62205454524381e-06
365d,4028071,43531056,0.155909272875289,0.0496462630000516
365d,4028071,4054501,0.155909272875289,0.0195268431228153
365d,4028071,194526,0.155909272875289,0.01080336302078
365d,4028071,4093227,0.155909272875289,0.00508430225997346
365d,4028071,4095643,0.155909272875289,0.00333652503381513
365d,4028071,4133001,0.155909272875289,0.00124898698674087
365d,4028071,4103495,0.155909272875289,0.000685790099881309
365d,4028071,4187240,0.155909272875289,0.000685790099881309
365d,4028071,4194610,0.155909272875289,0.00055193868981667
365d,4028071,4176868,0.155909272875289,0.000458712076488251
365d,4028071,4301891,0.155909272875289,0.000229991642256636
365d,4027384,4134294,0.107843119924873,0.0167419983999207
365d,4027384,435613,0.107843119924873,0.00508801939324666
365d,4027384,4114506,0.107843119924873,0.0041691111122099
365d,4027384,443943,0.107843119924873,0.00218548942344383
365d,4027384,444208,0.107843119924873,0.00176583875079308
365d,4027384,4141224,0.107843119924873,0.00111802016738167
365d,4027384,4029363,0.107843119924873,0.000635628658242484
365d,4027384,4193160,0.107843119924873,0.000307500275597152
365d,4027384,438688,0.107843119924873,0.000153076214809064
365d,4027384,4318832,0.107843119924873,7.09962805843788e-05
365d,4027384,4051204,0.107843119924873,2.41470303016254e-06
365d,4024013,4302654,0.108943834186679,0.00302042872605171
365d,4024013,4024712,0.108943834186679,0.000158982002578889
365d,4024013,4296465,0.108943834186679,0.000158982002578889
365d,4011630,4196708,0.110646120978787,0.000680648305069913
365d,4011630,443200,0.110646120978787,0.000541368956496669
365d,4011630,4024710,0.110646120978787,0.000443919171185348
365d,4011630,4024014,0.110646120978787,0.000426028742409302
365d,4011630,4297396,0.110646120978787,2.22484936594099e-05
365d,4011630,4024716,0.110646120978787,1.41018656961492e-05
365d,444112,141960,0.11444181156883,0.096062191217601
365d,444112,4028387,0.11444181156883,0.0772782636482265
365d,444112,4083311,0.11444181156883,0.00508615252691741
365d,444112,4041362,0.11444181156883,0.000213825460863281
365d,444112,4256625,0.11444181156883,4.33709852935139e-05
365d,441840,4024567,1.0,0.0922981676701183
365d,441840,135930,1.0,0.0702216424372523
365d,441840,4302537,1.0,0.0680633018366535
365d,441840,4023995,1.0,0.0680401023294671
365d,441840,4041283,1.0,0.0678620829955612
365d,441840,4041284,1.0,0.0594638716545733
365d,441840,4293175,1.0,0.056362960526989
365d,441840,4102111,1.0,0.0556767916158351
365d,441840,4042141,1.0,0.036365313481245
365d,441840,4038502,1.0,0.0361114602520975
365d,441840,4213101,1.0,0.0311533980451522
365d,441840,40480457,1.0,0.0243227695601104
365d,441840,432453,1.0,0.0221970992937066
365d,441840,4021667,1.0,0.0217981767798915
